# Grid created from dataset flickr_images
# Label,WKT
49,"POLYGON ((10.103828908856151 47.317752769742185,10.214335495271671 47.624955908553474,9.822791278903674 47.659394362514384,9.716352617103505 47.351488447245529,10.103828908856151 47.317752769742185))"
50,"POLYGON ((9.210930476051985 45.837599131710078,9.259551688042883 45.987038965369429,9.075174004946824 46.001907463793067,9.027488252655441 45.852315624453162,9.210930476051985 45.837599131710078))"
51,"POLYGON ((9.075174004946824 46.001907463793067,9.123265715833407 46.151937956823744,8.938352126244570 46.166620624623214,8.891203225979188 46.016439843818077,9.075174004946824 46.001907463793067))"
52,"POLYGON ((9.259551688042883 45.987038965369429,9.308586289659647 46.136915813539851,9.123265715833407 46.151937956823744,9.075174004946824 46.001907463793067,9.259551688042883 45.987038965369429))"
53,"POLYGON ((9.888492063376068 46.708390752550592,9.941630930561736 46.860096294078240,9.750685556024823 46.876631298579809,9.698527496824488 46.724756553235480,9.888492063376068 46.708390752550592))"
54,"POLYGON ((9.941630930561736 46.860096294078240,9.995229633242426 47.012226290746462,9.803295610561424 47.028932318644841,9.750685556024823 46.876631298579809,9.941630930561736 46.860096294078240))"
55,"POLYGON ((9.750685556024823 46.876631298579809,9.803295610561424 47.028932318644841,9.611756365859899 47.045274080557789,9.560135262032682 46.892805623974340,9.750685556024823 46.876631298579809))"
56,"POLYGON ((9.698527496824488 46.724756553235480,9.750685556024823 46.876631298579809,9.560135262032682 46.892805623974340,9.508958273649842 46.740765226376702,9.698527496824488 46.724756553235480))"
57,"POLYGON ((6.753047738292168 46.317060295376415,6.789228418749177 46.469243267366807,6.609135354624716 46.479806002036653,6.573897224908094 46.327513942721680,6.753047738292168 46.317060295376415))"
58,"POLYGON ((6.609135354624716 46.479806002036653,6.644680191009272 46.632553823926074,6.464116618699084 46.642910035436380,6.429521132709435 46.490055144571372,6.609135354624716 46.479806002036653))"
59,"POLYGON ((6.573897224908094 46.327513942721680,6.609135354624716 46.479806002036653,6.429521132709435 46.490055144571372,6.395224423808759 46.337657179846090,6.573897224908094 46.327513942721680))"
60,"POLYGON ((6.361222864326589 46.185717311146881,6.395224423808759 46.337657179846090,6.217033965584450 46.347492229655309,6.183964775249060 46.195450736676911,6.361222864326589 46.185717311146881))"
61,"POLYGON ((6.327512883644395 46.034236662728617,6.361222864326589 46.185717311146881,6.183964775249060 46.195450736676911,6.151179404679127 46.043869568795571,6.327512883644395 46.034236662728617))"
62,"POLYGON ((6.151179404679127 46.043869568795571,6.183964775249060 46.195450736676911,6.007192318111003 46.204881326844962,5.975330264796998 46.053202718844702,6.151179404679127 46.043869568795571))"
63,"POLYGON ((7.121557906661386 47.071167999006256,7.160335079877492 47.225492318009891,6.974929515996146 47.236951049105357,6.937136388553729 47.082508147403487,7.121557906661386 47.071167999006256))"
64,"POLYGON ((7.083119491322478 46.917291704521574,7.121557906661386 47.071167999006256,6.937136388553729 47.082508147403487,6.899673743247255 46.928514557723190,7.083119491322478 46.917291704521574))"
65,"POLYGON ((7.267037353541672 46.905740975426411,7.306452455247130 47.059496620062937,7.121557906661386 47.071167999006256,7.083119491322478 46.917291704521574,7.267037353541672 46.905740975426411))"
66,"POLYGON ((7.306452455247130 47.059496620062937,7.346214572122230 47.213698966386296,7.160335079877492 47.225492318009891,7.121557906661386 47.071167999006256,7.306452455247130 47.059496620062937))"
67,"POLYGON ((7.491814845429587 47.047491756135216,7.532562722289082 47.201568722573221,7.346214572122230 47.213698966386296,7.306452455247130 47.059496620062937,7.491814845429587 47.047491756135216))"
68,"POLYGON ((7.677639828059231 47.035151173808501,7.719374198948144 47.189099336386001,7.532562722289082 47.201568722573221,7.491814845429587 47.047491756135216,7.677639828059231 47.035151173808501))"
69,"POLYGON ((7.636268925612545 46.881646961027428,7.677639828059231 47.035151173808501,7.491814845429587 47.047491756135216,7.451422221093694 46.893860133160722,7.636268925612545 46.881646961027428))"
70,"POLYGON ((7.189231261228175 46.599575397259066,7.227965016584323 46.752433446012418,7.045015678151126 46.763864833386357,7.007242377355785 46.610888736509985,7.189231261228175 46.599575397259066))"
71,"POLYGON ((7.227965016584323 46.752433446012418,7.267037353541672 46.905740975426411,7.083119491322478 46.917291704521574,7.045015678151126 46.763864833386357,7.227965016584323 46.752433446012418))"
72,"POLYGON ((7.045015678151126 46.763864833386357,7.083119491322478 46.917291704521574,6.899673743247255 46.928514557723190,6.862537519793103 46.774971664549469,7.045015678151126 46.763864833386357))"
73,"POLYGON ((7.007242377355785 46.610888736509985,7.045015678151126 46.763864833386357,6.862537519793103 46.774971664549469,6.825723722447417 46.621880804618932,7.007242377355785 46.610888736509985))"
74,"POLYGON ((6.969795563782777 46.458364717330269,7.007242377355785 46.610888736509985,6.825723722447417 46.621880804618932,6.789228418749177 46.469243267366807,6.969795563782777 46.458364717330269))"
75,"POLYGON ((7.150831970298083 46.447168146959520,7.189231261228175 46.599575397259066,7.007242377355785 46.610888736509985,6.969795563782777 46.458364717330269,7.150831970298083 46.447168146959520))"
76,"POLYGON ((7.112763091317550 46.295212965716914,7.150831970298083 46.447168146959520,6.969795563782777 46.458364717330269,6.932671275665387 46.306294032265860,7.112763091317550 46.295212965716914))"
77,"POLYGON ((7.254638207374755 46.132430491055366,7.293318382434197 46.283814926438666,7.112763091317550 46.295212965716914,7.075020635264524 46.143711077401726,7.254638207374755 46.132430491055366))"
78,"POLYGON ((7.216288221590603 45.981499255709082,7.254638207374755 46.132430491055366,7.075020635264524 46.143711077401726,7.037600675355394 45.992663659611345,7.216288221590603 45.981499255709082))"
79,"POLYGON ((7.395432663659406 45.970022128466191,7.434713543895544 46.120833998156264,7.254638207374755 46.132430491055366,7.216288221590603 45.981499255709082,7.395432663659406 45.970022128466191))"
80,"POLYGON ((7.434713543895544 46.120833998156264,7.474332289426683 46.272097764033767,7.293318382434197 46.283814926438666,7.254638207374755 46.132430491055366,7.434713543895544 46.120833998156264))"
81,"POLYGON ((7.696707699502297 46.411648549025927,7.737969466102237 46.563685820297188,7.554599845652008 46.575976112457930,7.514293001393570 46.423812219778867,7.696707699502297 46.411648549025927))"
82,"POLYGON ((7.879571806899757 46.399158231091974,7.921789156095402 46.551065564828775,7.737969466102237 46.563685820297188,7.696707699502297 46.411648549025927,7.879571806899757 46.399158231091974))"
83,"POLYGON ((7.837716230932599 46.247697565792492,7.879571806899757 46.399158231091974,7.696707699502297 46.411648549025927,7.655799896282021 46.260059347510087,7.837716230932599 46.247697565792492))"
84,"POLYGON ((7.655799896282021 46.260059347510087,7.696707699502297 46.411648549025927,7.514293001393570 46.423812219778867,7.474332289426683 46.272097764033767,7.655799896282021 46.260059347510087))"
85,"POLYGON ((8.290757955202984 46.524826701378764,8.335270040966630 46.676906551452021,8.149601301661335 46.690331176028451,8.106053732380616 46.538113224947857,8.290757955202984 46.524826701378764))"
86,"POLYGON ((8.335270040966630 46.676906551452021,8.380168685344744 46.829427390640269,8.193527492809201 46.842991618576029,8.149601301661335 46.690331176028451,8.335270040966630 46.676906551452021))"
87,"POLYGON ((8.149601301661335 46.690331176028451,8.193527492809201 46.842991618576029,8.007326876811252 46.856214866534216,7.964372686747577 46.703418236209217,8.149601301661335 46.690331176028451))"
88,"POLYGON ((8.106053732380616 46.538113224947857,8.149601301661335 46.690331176028451,7.964372686747577 46.703418236209217,7.921789156095402 46.551065564828775,8.106053732380616 46.538113224947857))"
89,"POLYGON ((7.737969466102237 46.563685820297188,7.779589516493124 46.716169846091240,7.595257054029791 46.728588142058683,7.554599845652008 46.575976112457930,7.737969466102237 46.563685820297188))"
90,"POLYGON ((7.779589516493124 46.716169846091240,7.821572239590209 46.869099263453577,7.636268925612545 46.881646961027428,7.595257054029791 46.728588142058683,7.779589516493124 46.716169846091240))"
91,"POLYGON ((7.964372686747577 46.703418236209217,8.007326876811252 46.856214866534216,7.821572239590209 46.869099263453577,7.779589516493124 46.716169846091240,7.964372686747577 46.703418236209217))"
92,"POLYGON ((8.237836944299158 46.996093109245052,8.282534368311019 47.149634155662149,8.094365503789035 47.163134246899688,8.050656275323368 47.009454028733138,8.237836944299158 46.996093109245052))"
93,"POLYGON ((8.193527492809201 46.842991618576029,8.237836944299158 46.996093109245052,8.050656275323368 47.009454028733138,8.007326876811252 46.856214866534216,8.193527492809201 46.842991618576029))"
94,"POLYGON ((8.380168685344744 46.829427390640269,8.425458615376060 46.982387758982078,8.237836944299158 46.996093109245052,8.193527492809201 46.842991618576029,8.380168685344744 46.829427390640269))"
95,"POLYGON ((8.471144633014832 47.135786147293096,8.517231616586630 47.289620996698353,8.327624552166816 47.303613215961398,8.282534368311019 47.149634155662149,8.471144633014832 47.135786147293096))"
96,"POLYGON ((8.327624552166816 47.303613215961398,8.373112359801237 47.458028698322053,8.182942307483673 47.471811700564750,8.138459257599624 47.317253995830271,8.327624552166816 47.303613215961398))"
97,"POLYGON ((8.282534368311019 47.149634155662149,8.327624552166816 47.303613215961398,8.138459257599624 47.317253995830271,8.094365503789035 47.163134246899688,8.282534368311019 47.149634155662149))"
98,"POLYGON ((8.419002733266012 47.612878960508823,8.465300694269137 47.768162309414855,8.273095764013863 47.782234426085687,8.227819500991412 47.626805735929914,8.419002733266012 47.612878960508823))"
99,"POLYGON ((8.373112359801237 47.458028698322053,8.419002733266012 47.612878960508823,8.227819500991412 47.626805735929914,8.182942307483673 47.471811700564750,8.373112359801237 47.458028698322053))"
100,"POLYGON ((8.563724522277461 47.443890698166882,8.610628385657154 47.598593592048815,8.419002733266012 47.612878960508823,8.373112359801237 47.458028698322053,8.563724522277461 47.443890698166882))"
101,"POLYGON ((8.610628385657154 47.598593592048815,8.657948323237804 47.753727967615106,8.465300694269137 47.768162309414855,8.419002733266012 47.612878960508823,8.610628385657154 47.598593592048815))"
102,"POLYGON ((7.656982369711560 47.666456663038026,7.699196120839710 47.822299736013434,7.508820629913144 47.834945389307116,7.467626555320506 47.678971349229933,7.656982369711560 47.666456663038026))"
103,"POLYGON ((7.803951454258062 47.498321489833778,7.846803575988951 47.653592346282920,7.656982369711560 47.666456663038026,7.615141962340153 47.511052727346645,7.803951454258062 47.498321489833778))"
104,"POLYGON ((8.660190668698482 47.121588087396844,8.707274734495124 47.275275189265038,8.517231616586630 47.289620996698353,8.471144633014832 47.135786147293096,8.660190668698482 47.121588087396844))"
105,"POLYGON ((8.849666788199317 47.107037866411112,8.897748130957812 47.260573670231558,8.707274734495124 47.275275189265038,8.660190668698482 47.121588087396844,8.849666788199317 47.107037866411112))"
106,"POLYGON ((8.897748130957812 47.260573670231558,8.946251898069836 47.414541077371524,8.754772989799232 47.429395536945023,8.707274734495124 47.275275189265038,8.897748130957812 47.260573670231558))"
107,"POLYGON ((9.575184528326451 47.521712577005168,9.627615285790071 47.676047121062588,9.432845173937748 47.692324919085756,9.381436393674578 47.537823036812313,9.575184528326451 47.521712577005168))"
108,"POLYGON ((9.769338826582553 47.505230866608919,9.822791278903674 47.659394362514384,9.627615285790071 47.676047121062588,9.575184528326451 47.521712577005168,9.769338826582553 47.505230866608919))"
109,"POLYGON ((9.716352617103505 47.351488447245529,9.769338826582553 47.505230866608919,9.575184528326451 47.521712577005168,9.523211750004467 47.367800935722904,9.716352617103505 47.351488447245529))"
110,"POLYGON ((9.523211750004467 47.367800935722904,9.575184528326451 47.521712577005168,9.381436393674578 47.537823036812313,9.330477287543582 47.383745846804587,9.523211750004467 47.367800935722904))"
111,"POLYGON ((9.027488252655441 45.852315624453162,9.051280684106137 45.927056629787316,8.959478407617341 45.934327236853726,8.935919359360938 45.859548953966261,9.027488252655441 45.852315624453162))"
112,"POLYGON ((8.935919359360938 45.859548953966261,8.959478407617341 45.934327236853726,8.867778507399411 45.941514469123561,8.844452822672201 45.866699322341717,8.935919359360938 45.859548953966261))"
113,"POLYGON ((8.959478407617341 45.934327236853726,8.983137418415891 46.009215549077041,8.891203225979188 46.016439843818077,8.867778507399411 45.941514469123561,8.959478407617341 45.934327236853726))"
114,"POLYGON ((9.051280684106137 45.927056629787316,9.075174004946824 46.001907463793067,8.983137418415891 46.009215549077041,8.959478407617341 45.934327236853726,9.051280684106137 45.927056629787316))"
115,"POLYGON ((6.789228418749177 46.469243267366807,6.807436502232968 46.545505291903801,6.717093224215236 46.550853694545566,6.699122327626026 46.474563973092572,6.789228418749177 46.469243267366807))"
116,"POLYGON ((6.807436502232968 46.545505291903801,6.825723722447417 46.621880804618932,6.735142262682866 46.627257055741204,6.717093224215236 46.550853694545566,6.807436502232968 46.545505291903801))"
117,"POLYGON ((6.717093224215236 46.550853694545566,6.735142262682866 46.627257055741204,6.644680191009272 46.632553823926074,6.626869199740799 46.556123018389250,6.717093224215236 46.550853694545566))"
118,"POLYGON ((6.111784099416404 46.276191775053100,6.128121046263958 46.352294883596585,6.039330422848942 46.357021331906907,6.023226653485084 46.280893722414611,6.111784099416404 46.276191775053100))"
119,"POLYGON ((6.095517563531571 46.200203746712653,6.111784099416404 46.276191775053100,6.023226653485084 46.280893722414611,6.007192318111003 46.204881326844962,6.095517563531571 46.200203746712653))"
120,"POLYGON ((6.200463676727389 46.271414010954715,6.217033965584450 46.347492229655309,6.128121046263958 46.352294883596585,6.111784099416404 46.276191775053100,6.200463676727389 46.271414010954715))"
121,"POLYGON ((7.471574399844195 46.970620186290823,7.491814845429587 47.047491756135216,7.399075496803009 47.053536013809754,7.379079993190698 46.976633142317056,7.471574399844195 46.970620186290823))"
122,"POLYGON ((7.379079993190698 46.976633142317056,7.399075496803009 47.053536013809754,7.306452455247130 47.059496620062937,7.286701794741763 46.982562870555270,7.379079993190698 46.976633142317056))"
123,"POLYGON ((7.359171733282867 46.899841957472169,7.379079993190698 46.976633142317056,7.286701794741763 46.982562870555270,7.267037353541672 46.905740975426411,7.359171733282867 46.899841957472169))"
124,"POLYGON ((6.932671275665387 46.306294032265860,6.951193349210111 46.382272631331766,6.861087272941426 46.387723172219680,6.842800674244908 46.311716377946212,6.932671275665387 46.306294032265860))"
125,"POLYGON ((6.861087272941426 46.387723172219680,6.879453031007891 46.463843607513979,6.789228418749177 46.469243267366807,6.771098990124891 46.393094884870230,6.861087272941426 46.387723172219680))"
126,"POLYGON ((6.842800674244908 46.311716377946212,6.861087272941426 46.387723172219680,6.771098990124891 46.393094884870230,6.753047738292168 46.317060295376415,6.842800674244908 46.311716377946212))"
127,"POLYGON ((7.921789156095402 46.551065564828775,7.943034870517193 46.627186318353985,7.850828677995231 46.633570783488786,7.829823375029529 46.557417071050949,7.921789156095402 46.551065564828775))"
128,"POLYGON ((7.943034870517193 46.627186318353985,7.964372686747577 46.703418236209217,7.871925090747578 46.709835839429651,7.850828677995231 46.633570783488786,7.943034870517193 46.627186318353985))"
129,"POLYGON ((7.850828677995231 46.633570783488786,7.871925090747578 46.709835839429651,7.779589516493124 46.716169846091240,7.758734433137676 46.639872072939603,7.850828677995231 46.633570783488786))"
130,"POLYGON ((7.829823375029529 46.557417071050949,7.850828677995231 46.633570783488786,7.758734433137676 46.639872072939603,7.737969466102237 46.563685820297188,7.829823375029529 46.557417071050949))"
131,"POLYGON ((8.425458615376060 46.982387758982078,8.448251810156407 47.059032296901030,8.354139533434134 47.065963944749498,8.331592999698980 46.989283621025280,8.425458615376060 46.982387758982078))"
132,"POLYGON ((8.354139533434134 47.065963944749498,8.376784676100176 47.142753775094306,8.282534368311019 47.149634155662149,8.260136862310439 47.072808783186304,8.354139533434134 47.065963944749498))"
133,"POLYGON ((8.448251810156407 47.059032296901030,8.471144633014832 47.135786147293096,8.376784676100176 47.142753775094306,8.354139533434134 47.065963944749498,8.448251810156407 47.059032296901030))"
134,"POLYGON ((8.517231616586630 47.289620996698353,8.540427016322699 47.366701593461045,8.445317846831962 47.373778336752686,8.422373219038203 47.296661171140087,8.517231616586630 47.289620996698353))"
135,"POLYGON ((8.445317846831962 47.373778336752686,8.468363538694774 47.451004208780269,8.373112359801237 47.458028698322053,8.350318445982198 47.380766505836803,8.445317846831962 47.373778336752686))"
136,"POLYGON ((8.422373219038203 47.296661171140087,8.445317846831962 47.373778336752686,8.350318445982198 47.380766505836803,8.327624552166816 47.303613215961398,8.422373219038203 47.296661171140087))"
137,"POLYGON ((7.636015789356988 47.588699700215152,7.656982369711560 47.666456663038026,7.562245937831531 47.672757566698735,7.541532699829566 47.594967908078743,7.636015789356988 47.588699700215152))"
138,"POLYGON ((7.541532699829566 47.594967908078743,7.562245937831531 47.672757566698735,7.467626555320506 47.678971349229933,7.447166571849657 47.601149436472625,7.541532699829566 47.594967908078743))"
139,"POLYGON ((7.520911143778632 47.517288417108283,7.541532699829566 47.594967908078743,7.447166571849657 47.601149436472625,7.426797197471997 47.523437866766713,7.520911143778632 47.517288417108283))"
140,"POLYGON ((8.730971769862130 47.352281311020207,8.754772989799232 47.429395536945023,8.659194583046324 47.436687896882624,8.635645232533159 47.359536007253013,8.730971769862130 47.352281311020207))"
141,"POLYGON ((8.707274734495124 47.275275189265038,8.730971769862130 47.352281311020207,8.635645232533159 47.359536007253013,8.612199028422435 47.282492424818017,8.707274734495124 47.275275189265038))"
142,"POLYGON ((6.708098038033971 46.512694619219680,6.717093224215236 46.550853694545566,6.671966267826695 46.553498223869497,6.663030415161955 46.515332290380393,6.708098038033971 46.512694619219680))"
143,"POLYGON ((6.699122327626026 46.474563973092572,6.708098038033971 46.512694619219680,6.663030415161955 46.515332290380393,6.654113914190685 46.477194804784098,6.699122327626026 46.474563973092572))"
144,"POLYGON ((6.654113914190685 46.477194804784098,6.663030415161955 46.515332290380393,6.617992663402291 46.517950276985658,6.609135354624716 46.479806002036653,6.654113914190685 46.477194804784098))"
145,"POLYGON ((6.147908472094239 46.235810152562458,6.156108656673882 46.273812387641293,6.111784099416404 46.276191775053100,6.103642056910352 46.238183367241838,6.147908472094239 46.235810152562458))"
146,"POLYGON ((6.192205329726983 46.233417997099636,6.200463676727389 46.271414010954715,6.156108656673882 46.273812387641293,6.147908472094239 46.235810152562458,6.192205329726983 46.233417997099636))"
147,"POLYGON ((7.451422221093694 46.893860133160722,7.461487311020131 46.932226208999630,7.415286671943917 46.935235287933317,7.405282504086772 46.896861413419323,7.451422221093694 46.893860133160722))"
148,"POLYGON ((7.405282504086772 46.896861413419323,7.415286671943917 46.935235287933317,7.369114991313292 46.938223577985923,7.359171733282867 46.899841957472169,7.405282504086772 46.896861413419323))"
149,"POLYGON ((7.415286671943917 46.935235287933317,7.425312711213364 46.973637085150820,7.379079993190698 46.976633142317056,7.369114991313292 46.938223577985923,7.415286671943917 46.935235287933317))"
150,"POLYGON ((6.951193349210111 46.382272631331766,6.960484408373272 46.420304497938659,6.915357623039488 46.423046741860610,6.906125624285159 46.385007772455573,6.951193349210111 46.382272631331766))"
