Level,WKT
77,"POLYGON ((8.567244994905735 46.815520077084926,8.613515744958884 46.968335857927691,8.425458615376060 46.982387758982078,8.380168685344744 46.829427390640269,8.567244994905735 46.815520077084926))"
78,"POLYGON ((8.521373527741288 46.663142271204407,8.567244994905735 46.815520077084926,8.380168685344744 46.829427390640269,8.335270040966630 46.676906551452021,8.521373527741288 46.663142271204407))"
79,"POLYGON ((8.707906328911571 46.649036267364771,8.754750905229029 46.801267596105795,8.567244994905735 46.815520077084926,8.521373527741288 46.663142271204407,8.707906328911571 46.649036267364771))"
80,"POLYGON ((8.661464101722173 46.497242818376414,8.707906328911571 46.649036267364771,8.521373527741288 46.663142271204407,8.475896528767215 46.511203917201328,8.661464101722173 46.497242818376414))"
81,"POLYGON ((8.475896528767215 46.511203917201328,8.521373527741288 46.663142271204407,8.335270040966630 46.676906551452021,8.290757955202984 46.524826701378764,8.475896528767215 46.511203917201328))"
82,"POLYGON ((8.430809257943977 46.359706443043102,8.475896528767215 46.511203917201328,8.290757955202984 46.524826701378764,8.246627774507278 46.373189251628993,8.430809257943977 46.359706443043102))"
83,"POLYGON ((8.386107048482016 46.208651228224191,8.430809257943977 46.359706443043102,8.246627774507278 46.373189251628993,8.202874917433583 46.221995565130193,8.386107048482016 46.208651228224191))"
84,"POLYGON ((8.615419398035751 46.345888694198891,8.661464101722173 46.497242818376414,8.475896528767215 46.511203917201328,8.430809257943977 46.359706443043102,8.615419398035751 46.345888694198891))"
85,"POLYGON ((8.800452869239534 46.331733987867572,8.847455267666241 46.482941374270297,8.661464101722173 46.497242818376414,8.615419398035751 46.345888694198891,8.800452869239534 46.331733987867572))"
86,"POLYGON ((8.985904292042999 46.317240330269556,9.033864565673641 46.468297578177882,8.847455267666241 46.482941374270297,8.800452869239534 46.331733987867572,8.985904292042999 46.317240330269556))"
87,"POLYGON ((8.753850925693110 46.180965750303855,8.800452869239534 46.331733987867572,8.615419398035751 46.345888694198891,8.569767466600860 46.194975291222995,8.753850925693110 46.180965750303855))"
88,"POLYGON ((8.707644676285478 46.030638026810180,8.753850925693110 46.180965750303855,8.569767466600860 46.194975291222995,8.524503629145892 46.044503957651663,8.707644676285478 46.030638026810180))"
89,"POLYGON ((8.844452822672201 45.866699322341717,8.891203225979188 46.016439843818077,8.707644676285478 46.030638026810180,8.661829432958440 45.880752134719600,8.844452822672201 45.866699322341717))"
90,"POLYGON ((8.479623279015842 45.894475993981239,8.524503629145892 46.044503957651663,8.341785305464137 46.058039604242971,8.297839504498157 45.907872855080093,8.479623279015842 45.894475993981239))"
91,"POLYGON ((8.524503629145892 46.044503957651663,8.569767466600860 46.194975291222995,8.386107048482016 46.208651228224191,8.341785305464137 46.058039604242971,8.524503629145892 46.044503957651663))"
92,"POLYGON ((8.341785305464137 46.058039604242971,8.386107048482016 46.208651228224191,8.202874917433583 46.221995565130193,8.159494873275781 46.071246957002813,8.341785305464137 46.058039604242971))"
93,"POLYGON ((8.297839504498157 45.907872855080093,8.341785305464137 46.058039604242971,8.159494873275781 46.071246957002813,8.116483200736917 45.920944695035978,8.297839504498157 45.907872855080093))"
94,"POLYGON ((8.254265190399153 45.758152217678578,8.297839504498157 45.907872855080093,8.116483200736917 45.920944695035978,8.073835526627834 45.771090000164769,8.254265190399153 45.758152217678578))"
95,"POLYGON ((8.390994964221669 45.595755142693434,8.435121879838830 45.744892653484214,8.254265190399153 45.758152217678578,8.211057975900513 45.608878882425309,8.390994964221669 45.595755142693434))"
96,"POLYGON ((8.211057975900513 45.608878882425309,8.254265190399153 45.758152217678578,8.073835526627834 45.771090000164769,8.031547544594451 45.621684046949198,8.211057975900513 45.608878882425309))"
97,"POLYGON ((8.752128793110638 45.568544157797611,8.798096220110779 45.717400347078204,8.616400578988637 45.731309343952717,8.571353567668337 45.582310877504398,8.752128793110638 45.568544157797611))"
98,"POLYGON ((8.571353567668337 45.582310877504398,8.616400578988637 45.731309343952717,8.435121879838830 45.744892653484214,8.390994964221669 45.595755142693434,8.571353567668337 45.582310877504398))"
99,"POLYGON ((8.933315596619552 45.554453076179819,8.980203684145353 45.703163742963717,8.798096220110779 45.717400347078204,8.752128793110638 45.568544157797611,8.933315596619552 45.554453076179819))"
100,"POLYGON ((9.114908883926482 45.540035747402889,9.162717801186592 45.688597634305694,8.980203684145353 45.703163742963717,8.933315596619552 45.554453076179819,9.114908883926482 45.540035747402889))"
101,"POLYGON ((9.296903510901130 45.525290308840205,9.345633350977792 45.673700146877174,9.162717801186592 45.688597634305694,9.114908883926482 45.540035747402889,9.296903510901130 45.525290308840205))"
102,"POLYGON ((8.031547544594451 45.621684046949198,8.073835526627834 45.771090000164769,7.893837852264837 45.783707985708148,7.852468560529951 45.634172607223007,8.031547544594451 45.621684046949198))"
103,"POLYGON ((8.073835526627834 45.771090000164769,8.116483200736917 45.920944695035978,7.935559406286314 45.933693512441117,7.893837852264837 45.783707985708148,8.073835526627834 45.771090000164769))"
104,"POLYGON ((7.893837852264837 45.783707985708148,7.935559406286314 45.933693512441117,7.755073106487263 45.946121326965439,7.714277078411905 45.796008179722783,7.893837852264837 45.783707985708148))"
105,"POLYGON ((7.852468560529951 45.634172607223007,7.893837852264837 45.783707985708148,7.714277078411905 45.796008179722783,7.673825861865939 45.646346554432931,7.852468560529951 45.634172607223007))"
106,"POLYGON ((7.673825861865939 45.646346554432931,7.714277078411905 45.796008179722783,7.535158063131390 45.807992607783312,7.495624234307722 45.658207899512398,7.673825861865939 45.646346554432931))"
107,"POLYGON ((7.495624234307722 45.658207899512398,7.535158063131390 45.807992607783312,7.356485611063801 45.819663315136260,7.317868410739239 45.669758672660620,7.495624234307722 45.658207899512398))"
108,"POLYGON ((7.356485611063801 45.819663315136260,7.395432663659406 45.970022128466191,7.216288221590603 45.981499255709082,7.178264473064062 45.831022366211151,7.356485611063801 45.819663315136260))"
109,"POLYGON ((7.178264473064062 45.831022366211151,7.216288221590603 45.981499255709082,7.037600675355394 45.992663659611345,7.000499345856426 45.842071844131532,7.178264473064062 45.831022366211151))"
110,"POLYGON ((7.140563070873617 45.681000922861088,7.178264473064062 45.831022366211151,7.000499345856426 45.842071844131532,6.963712840921955 45.691936717399933,7.140563070873617 45.681000922861088))"
111,"POLYGON ((6.963712840921955 45.691936717399933,7.000499345856426 45.842071844131532,6.823194871707998 45.852813850226177,6.787322293280333 45.702568141384560,6.963712840921955 45.691936717399933))"
112,"POLYGON ((6.823194871707998 45.852813850226177,6.859374738358916 46.003517457791666,6.681615068578809 46.014062785969692,6.646355638120819 45.863250503540556,6.823194871707998 45.852813850226177))"
113,"POLYGON ((6.787322293280333 45.702568141384560,6.823194871707998 45.852813850226177,6.646355638120819 45.863250503540556,6.611395946234934 45.712897297262657,6.787322293280333 45.702568141384560))"
114,"POLYGON ((6.118674428321200 45.892749792763325,6.151179404679127 46.043869568795571,5.975330264796998 46.053202718844702,5.943740926952680 45.901986562679163,6.118674428321200 45.892749792763325))"
115,"POLYGON ((6.260953654885048 45.732657298308929,6.294090967094665 45.883216313666338,6.118674428321200 45.892749792763325,6.086446474201789 45.742092430753026,6.260953654885048 45.732657298308929))"
116,"POLYGON ((6.086446474201789 45.742092430753026,6.118674428321200 45.892749792763325,5.943740926952680 45.901986562679163,5.912421020893037 45.751233868685681,6.086446474201789 45.742092430753026))"
117,"POLYGON ((6.611395946234934 45.712897297262657,6.646355638120819 45.863250503540556,6.469986177542397 45.873383940348802,6.435938263685210 45.722926304341641,6.611395946234934 45.712897297262657))"
118,"POLYGON ((6.469986177542397 45.873383940348802,6.504326268262679 46.024301797470315,6.327512883644395 46.034236662728617,6.294090967094665 45.883216313666338,6.469986177542397 45.873383940348802))"
119,"POLYGON ((6.646355638120819 45.863250503540556,6.681615068578809 46.014062785969692,6.504326268262679 46.024301797470315,6.469986177542397 45.873383940348802,6.646355638120819 45.863250503540556))"
120,"POLYGON ((6.681615068578809 46.014062785969692,6.717177871525054 46.165333084831346,6.538962082961392 46.175678828841633,6.504326268262679 46.024301797470315,6.681615068578809 46.014062785969692))"
121,"POLYGON ((6.504326268262679 46.024301797470315,6.538962082961392 46.175678828841633,6.361222864326589 46.185717311146881,6.327512883644395 46.034236662728617,6.504326268262679 46.024301797470315))"
122,"POLYGON ((6.538962082961392 46.175678828841633,6.573897224908094 46.327513942721680,6.395224423808759 46.337657179846090,6.361222864326589 46.185717311146881,6.538962082961392 46.175678828841633))"
123,"POLYGON ((6.717177871525054 46.165333084831346,6.753047738292168 46.317060295376415,6.573897224908094 46.327513942721680,6.538962082961392 46.175678828841633,6.717177871525054 46.165333084831346))"
124,"POLYGON ((6.753047738292168 46.317060295376415,6.789228418749177 46.469243267366807,6.609135354624716 46.479806002036653,6.573897224908094 46.327513942721680,6.753047738292168 46.317060295376415))"
125,"POLYGON ((6.573897224908094 46.327513942721680,6.609135354624716 46.479806002036653,6.429521132709435 46.490055144571372,6.395224423808759 46.337657179846090,6.573897224908094 46.327513942721680))"
126,"POLYGON ((6.429521132709435 46.490055144571372,6.464116618699084 46.642910035436380,6.284037782007805 46.652951698293201,6.250390455871703 46.499992935948192,6.429521132709435 46.490055144571372))"
127,"POLYGON ((6.250390455871703 46.499992935948192,6.284037782007805 46.652951698293201,6.104448397961738 46.662681089252494,6.071747968263931 46.509621634372614,6.250390455871703 46.499992935948192))"
128,"POLYGON ((6.217033965584450 46.347492229655309,6.250390455871703 46.499992935948192,6.071747968263931 46.509621634372614,6.039330422848942 46.357021331906907,6.217033965584450 46.347492229655309))"
129,"POLYGON ((6.361222864326589 46.185717311146881,6.395224423808759 46.337657179846090,6.217033965584450 46.347492229655309,6.183964775249060 46.195450736676911,6.361222864326589 46.185717311146881))"
130,"POLYGON ((6.327512883644395 46.034236662728617,6.361222864326589 46.185717311146881,6.183964775249060 46.195450736676911,6.151179404679127 46.043869568795571,6.327512883644395 46.034236662728617))"
131,"POLYGON ((6.022301597741723 47.134320738598134,6.055190766632903 47.289306337485264,5.872735986136028 47.298806182319765,5.840823805398698 47.143721954669140,6.022301597741723 47.134320738598134))"
132,"POLYGON ((6.170711962889471 46.970172646973730,6.204282266930083 47.124602229190245,6.022301597741723 47.134320738598134,5.989701307109916 46.979790362096303,6.170711962889471 46.970172646973730))"
133,"POLYGON ((6.204282266930083 47.124602229190245,6.238149795162474 47.279485921695851,6.055190766632903 47.289306337485264,6.022301597741723 47.134320738598134,6.204282266930083 47.124602229190245))"
134,"POLYGON ((6.680535512485779 46.785756179290907,6.716705158181129 46.939411792344174,6.534218724673702 46.949985685189482,6.499014567626843 46.796220636474004,6.680535512485779 46.785756179290907))"
135,"POLYGON ((6.644680191009272 46.632553823926074,6.680535512485779 46.785756179290907,6.499014567626843 46.796220636474004,6.464116618699084 46.642910035436380,6.644680191009272 46.632553823926074))"
136,"POLYGON ((6.825723722447417 46.621880804618932,6.862537519793103 46.774971664549469,6.680535512485779 46.785756179290907,6.644680191009272 46.632553823926074,6.825723722447417 46.621880804618932))"
137,"POLYGON ((6.862537519793103 46.774971664549469,6.899673743247255 46.928514557723190,6.716705158181129 46.939411792344174,6.680535512485779 46.785756179290907,6.862537519793103 46.774971664549469))"
138,"POLYGON ((6.899673743247255 46.928514557723190,6.937136388553729 47.082508147403487,6.753193029129606 47.093519340164029,6.716705158181129 46.939411792344174,6.899673743247255 46.928514557723190))"
139,"POLYGON ((6.716705158181129 46.939411792344174,6.753193029129606 47.093519340164029,6.569732895532899 47.104203872116102,6.534218724673702 46.949985685189482,6.716705158181129 46.939411792344174))"
140,"POLYGON ((6.937136388553729 47.082508147403487,6.974929515996146 47.236951049105357,6.790003089505832 47.248077452249532,6.753193029129606 47.093519340164029,6.937136388553729 47.082508147403487))"
141,"POLYGON ((7.121557906661386 47.071167999006256,7.160335079877492 47.225492318009891,6.974929515996146 47.236951049105357,6.937136388553729 47.082508147403487,7.121557906661386 47.071167999006256))"
142,"POLYGON ((7.267037353541672 46.905740975426411,7.306452455247130 47.059496620062937,7.121557906661386 47.071167999006256,7.083119491322478 46.917291704521574,7.267037353541672 46.905740975426411))"
143,"POLYGON ((7.306452455247130 47.059496620062937,7.346214572122230 47.213698966386296,7.160335079877492 47.225492318009891,7.121557906661386 47.071167999006256,7.306452455247130 47.059496620062937))"
144,"POLYGON ((7.491814845429587 47.047491756135216,7.532562722289082 47.201568722573221,7.346214572122230 47.213698966386296,7.306452455247130 47.059496620062937,7.491814845429587 47.047491756135216))"
145,"POLYGON ((7.677639828059231 47.035151173808501,7.719374198948144 47.189099336386001,7.532562722289082 47.201568722573221,7.491814845429587 47.047491756135216,7.677639828059231 47.035151173808501))"
146,"POLYGON ((7.636268925612545 46.881646961027428,7.677639828059231 47.035151173808501,7.491814845429587 47.047491756135216,7.451422221093694 46.893860133160722,7.636268925612545 46.881646961027428))"
147,"POLYGON ((7.189231261228175 46.599575397259066,7.227965016584323 46.752433446012418,7.045015678151126 46.763864833386357,7.007242377355785 46.610888736509985,7.189231261228175 46.599575397259066))"
148,"POLYGON ((7.045015678151126 46.763864833386357,7.083119491322478 46.917291704521574,6.899673743247255 46.928514557723190,6.862537519793103 46.774971664549469,7.045015678151126 46.763864833386357))"
149,"POLYGON ((7.007242377355785 46.610888736509985,7.045015678151126 46.763864833386357,6.862537519793103 46.774971664549469,6.825723722447417 46.621880804618932,7.007242377355785 46.610888736509985))"
150,"POLYGON ((6.969795563782777 46.458364717330269,7.007242377355785 46.610888736509985,6.825723722447417 46.621880804618932,6.789228418749177 46.469243267366807,6.969795563782777 46.458364717330269))"
