Level,WKT
48,"POLYGON ((50.018765341081114 22.735909530093693,55.491477012331600 24.258609764414683,55.491477012331600 29.532803705822648,50.018765341081114 27.780273163189150,50.018765341081114 22.735909530093693))"
49,"POLYGON ((37.303948277983423 55.490709463772134,45.000000000000000 59.491041133797204,35.469872167400055 62.905212519924106,28.495638618244978 58.107663646625426,37.303948277983423 55.490709463772134))"
50,"POLYGON ((0.000000000000000 45.000000000000000,0.000000000000000 50.018765341081107,-6.027530295521267 49.862303747198261,-5.059868846264116 44.888143788910511,0.000000000000000 45.000000000000000))"
51,"POLYGON ((0.000000000000000 55.491477012331607,0.000000000000000 61.326853510565016,-9.196655891628900 61.013709706836757,-7.338606336236236 55.271147659547914,0.000000000000000 55.491477012331607))"
52,"POLYGON ((-9.196655891628900 61.013709706836757,-11.996899307923577 66.927433390465254,-24.227745317954170 65.443833384714338,-18.924644416051233 59.966719564004862,-9.196655891628900 61.013709706836757))"
53,"POLYGON ((140.018765341081121 37.461318729067941,140.018765341081092 32.722232466945613,145.491477012331586 34.644220547108510,145.491477012331586 39.489953235912523,140.018765341081121 37.461318729067941))"
54,"POLYGON ((135.000000000000000 -30.665333778903783,135.000000000000000 -35.264389682754654,140.018765341081121 -37.461318729067941,140.018765341081092 -32.722232466945613,135.000000000000000 -30.665333778903783))"
55,"POLYGON ((140.018765341081092 -32.722232466945613,140.018765341081121 -37.461318729067941,145.491477012331586 -39.489953235912523,145.491477012331586 -34.644220547108510,140.018765341081092 -32.722232466945613))"
56,"POLYGON ((-124.508522987668414 34.644220547108510,-124.508522987668414 29.532803705822648,-118.673146489434998 31.098071404261553,-118.673146489434998 36.342373130800510,-124.508522987668414 34.644220547108510))"
57,"POLYGON ((-95.059868846264123 34.404157240638142,-95.059868846264123 28.579068550989316,-90.000000000000000 28.673146489434995,-90.000000000000000 34.508522987668400,-95.059868846264123 34.404157240638142))"
58,"POLYGON ((-100.619655276155143 28.258395338685673,-100.619655276155143 22.270575488008195,-95.059868846264123 22.540549401944705,-95.059868846264123 28.579068550989316,-100.619655276155143 28.258395338685673))"
59,"POLYGON ((-112.619864948040430 32.399840173919323,-112.619864948040430 26.784995507502199,-106.534837857345167 27.666225182415850,-106.534837857345167 33.387667212363269,-112.619864948040430 32.399840173919323))"
60,"POLYGON ((-106.534837857345167 33.387667212363269,-106.534837857345167 27.666225182415850,-100.619655276155143 28.258395338685673,-100.619655276155143 34.047862969434313,-106.534837857345167 33.387667212363269))"
61,"POLYGON ((-112.619864948040430 42.709389957361473,-112.619864948040430 37.741249163522390,-106.534837857345167 38.794595155857678,-106.534837857345167 43.790487397856815,-112.619864948040430 42.709389957361473))"
62,"POLYGON ((-106.534837857345167 43.790487397856815,-106.534837857345167 38.794595155857678,-100.619655276155143 39.494640112744214,-100.619655276155143 44.505098209896218,-106.534837857345167 43.790487397856815))"
63,"POLYGON ((-95.059868846264123 39.871128002988222,-95.059868846264123 34.404157240638142,-90.000000000000000 34.508522987668400,-90.000000000000000 39.981234658918893,-95.059868846264123 39.871128002988222))"
64,"POLYGON ((-95.059868846264123 44.888143788910511,-95.059868846264123 39.871128002988222,-90.000000000000000 39.981234658918893,-90.000000000000000 45.000000000000000,-95.059868846264123 44.888143788910511))"
65,"POLYGON ((-90.000000000000000 34.508522987668400,-90.000000000000000 28.673146489434995,-84.940131153735877 28.579068550989316,-84.940131153735877 34.404157240638142,-90.000000000000000 34.508522987668400))"
66,"POLYGON ((-7.785140143296171 37.041781613103254,-5.059868846264116 37.189423152187935,-5.059868846264117 39.871128002988222,-7.785140143296169 39.720237413185117,-7.785140143296171 37.041781613103254))"
67,"POLYGON ((-5.059868846264117 39.871128002988222,-2.460414538591696 39.955219067528105,-2.460414538591696 42.524635683013187,-5.059868846264117 42.439531104833684,-5.059868846264117 39.871128002988222))"
68,"POLYGON ((-2.460414538591696 42.524635683013187,0.000000000000000 42.550960261641841,0.000000000000000 45.000000000000000,-2.460414538591695 44.973577895528052,-2.460414538591696 42.524635683013187))"
69,"POLYGON ((-2.460414538591696 39.955219067528105,0.000000000000000 39.981234658918893,0.000000000000000 42.550960261641841,-2.460414538591696 42.524635683013187,-2.460414538591696 39.955219067528105))"
70,"POLYGON ((0.000000000000000 39.981234658918893,2.460414538591696 39.955219067528105,2.460414538591696 42.524635683013187,0.000000000000000 42.550960261641841,0.000000000000000 39.981234658918893))"
71,"POLYGON ((0.000000000000000 42.550960261641841,2.460414538591696 42.524635683013187,2.460414538591695 44.973577895528052,0.000000000000000 45.000000000000000,0.000000000000000 42.550960261641841))"
72,"POLYGON ((2.460414538591696 42.524635683013187,5.059868846264117 42.439531104833684,5.059868846264116 44.888143788910511,2.460414538591695 44.973577895528052,2.460414538591696 42.524635683013187))"
73,"POLYGON ((2.460414538591696 39.955219067528105,5.059868846264117 39.871128002988222,5.059868846264117 42.439531104833684,2.460414538591696 42.524635683013187,2.460414538591696 39.955219067528105))"
74,"POLYGON ((5.059868846264117 39.871128002988222,7.785140143296169 39.720237413185117,7.785140143296169 42.286765358248218,5.059868846264117 42.439531104833684,5.059868846264117 39.871128002988222))"
75,"POLYGON ((5.059868846264117 42.439531104833684,7.785140143296169 42.286765358248218,7.785140143296171 44.734731955777214,5.059868846264116 44.888143788910511,5.059868846264117 42.439531104833684))"
76,"POLYGON ((10.619655276155132 42.058229072330420,13.543691332211386 41.747046884651041,13.543691332211386 44.192169215208949,10.619655276155134 44.505098209896218,10.619655276155132 42.058229072330420))"
77,"POLYGON ((13.543691332211386 41.747046884651041,16.534837857345156 41.348031198414041,16.534837857345156 43.790487397856815,13.543691332211386 44.192169215208949,13.543691332211386 41.747046884651041))"
78,"POLYGON ((13.543691332211386 39.187716975637890,16.534837857345156 38.794595155857678,16.534837857345156 41.348031198414041,13.543691332211386 41.747046884651041,13.543691332211386 39.187716975637890))"
79,"POLYGON ((28.673146489434988 25.632266551070131,31.628309835221245 24.968877543317817,31.628309835221245 27.672816835345497,28.673146489434988 28.385017586853365,28.673146489434988 25.632266551070131))"
80,"POLYGON ((16.534837857345156 -36.137639871951102,19.568710311035993 -35.667845426965343,19.568710311035993 -32.934776777293067,16.534837857345156 -33.387667212363269,16.534837857345156 -36.137639871951102))"
81,"POLYGON ((19.568710311035993 -35.667845426965343,22.619864948040426 -35.112011184422201,22.619864948040426 -32.399840173919323,19.568710311035993 -32.934776777293067,19.568710311035993 -35.667845426965343))"
82,"POLYGON ((95.059868846264123 19.498215318313697,97.785140143296175 19.401876146754791,97.785140143296175 22.432120327457582,95.059868846264123 22.540549401944705,95.059868846264123 19.498215318313697))"
83,"POLYGON ((97.785140143296175 19.401876146754791,100.619655276155143 19.258411191181075,100.619655276155143 22.270575488008195,97.785140143296175 22.432120327457582,97.785140143296175 19.401876146754791))"
84,"POLYGON ((121.628309835221245 24.968877543317817,124.508522987668414 24.258609764414683,124.508522987668414 26.908495339540107,121.628309835221245 27.672816835345497,121.628309835221245 24.968877543317817))"
85,"POLYGON ((118.673146489434998 36.342373130800510,121.628309835221245 35.526507796513101,121.628309835221245 38.011928357226623,118.673146489434998 38.847944033639244,118.673146489434998 36.342373130800510))"
86,"POLYGON ((82.214859856703825 39.720237413185117,84.940131153735877 39.871128002988222,84.940131153735877 42.439531104833684,82.214859856703825 42.286765358248218,82.214859856703825 39.720237413185117))"
87,"POLYGON ((82.214859856703825 42.286765358248218,84.940131153735877 42.439531104833684,84.940131153735877 44.888143788910511,82.214859856703825 44.734731955777214,82.214859856703825 42.286765358248218))"
88,"POLYGON ((79.380344723844871 42.058229072330420,82.214859856703825 42.286765358248218,82.214859856703825 44.734731955777214,79.380344723844871 44.505098209896218,79.380344723844871 42.058229072330420))"
89,"POLYGON ((76.456308667788619 41.747046884651041,79.380344723844871 42.058229072330420,79.380344723844871 44.505098209896218,76.456308667788619 44.192169215208949,76.456308667788619 41.747046884651041))"
90,"POLYGON ((76.456308667788619 33.758044323560974,79.380344723844871 34.047862969434313,79.380344723844871 36.821176142989870,76.456308667788619 36.521301739704548,76.456308667788619 33.758044323560974))"
91,"POLYGON ((82.214859856703825 22.432120327457582,84.940131153735877 22.540549401944705,84.940131153735877 25.575609076484259,82.214859856703825 25.456329363736664,82.214859856703825 22.432120327457582))"
92,"POLYGON ((82.214859856703825 25.456329363736664,84.940131153735877 25.575609076484259,84.940131153735877 28.579068550989316,82.214859856703825 28.450360919447157,82.214859856703825 25.456329363736664))"
93,"POLYGON ((79.380344723844871 4.973642825000524,82.214859856703825 5.013470845371533,82.214859856703825 7.714252526909324,79.380344723844871 7.653391707167861,79.380344723844871 4.973642825000524))"
94,"POLYGON ((3.576334374997351 55.439318105616167,3.990913098429780 58.309543641516086,0.000000000000000 58.371690164778762,0.000000000000000 55.491477012331607,3.576334374997351 55.439318105616167))"
95,"POLYGON ((8.180971633047854 58.109408030073567,9.196655891628900 61.013709706836757,4.492581479915314 61.252568757384161,3.990913098429780 58.309543641516086,8.180971633047854 58.109408030073567))"
96,"POLYGON ((12.515981253240172 57.753080255614336,14.036243467926479 60.589789734085294,9.196655891628900 61.013709706836757,8.180971633047854 58.109408030073567,12.515981253240172 57.753080255614336))"
97,"POLYGON ((11.247314160685438 54.970989378851641,12.515981253240172 57.753080255614336,8.180971633047854 58.109408030073567,7.338606336236236 55.271147659547914,11.247314160685438 54.970989378851641))"
98,"POLYGON ((23.772348811364704 59.138439586839283,26.627126753562326 61.743221167549230,21.317912275461552 62.717210288257697,18.924644416051233 59.966719564004862,23.772348811364704 59.138439586839283))"
99,"POLYGON ((31.711345865237980 60.542779228676366,35.469872167400055 62.905212519924106,30.033280435995145 64.299106407622830,26.627126753562326 61.743221167549230,31.711345865237980 60.542779228676366))"
100,"POLYGON ((19.495860513186237 48.345529004117203,21.293030818112129 50.733077891913069,17.549002229067771 51.378641853957497,16.027616110289053 48.896762695213269,19.495860513186237 48.345529004117203))"
101,"POLYGON ((16.534837857345156 43.790487397856815,17.921428058033985 46.026940804005086,14.703551823761567 46.497480002281911,13.543691332211386 44.192169215208949,16.534837857345156 43.790487397856815))"
102,"POLYGON ((6.630267281171657 52.517295718872049,7.338606336236236 55.271147659547914,3.576334374997351 55.439318105616167,3.228647869635616 52.658913362585963,6.630267281171657 52.517295718872049))"
103,"POLYGON ((5.059868846264116 44.888143788910511,5.509358437021368 47.316853801355215,2.679973940107940 47.417802813756687,2.460414538591695 44.973577895528052,5.059868846264116 44.888143788910511))"
104,"POLYGON ((-3.228647869635616 52.658913362585963,-3.576334374997351 55.439318105616167,-7.338606336236236 55.271147659547914,-6.630267281171657 52.517295718872049,-3.228647869635616 52.658913362585963))"
105,"POLYGON ((-2.933398179187317 49.981774011881548,-3.228647869635616 52.658913362585963,-6.630267281171657 52.517295718872049,-6.027530295521267 49.862303747198261,-2.933398179187317 49.981774011881548))"
106,"POLYGON ((-70.504139486813756 48.345529004117203,-73.972383889710954 48.896762695213269,-75.296448176238442 46.497480002281911,-72.078571941966018 46.026940804005086,-70.504139486813756 48.345529004117203))"
107,"POLYGON ((122.242467839123336 47.994058043415230,125.676408221862005 46.841407503824918,128.500653720345440 48.701315075980311,124.948299658007329 50.011659123207863,122.242467839123336 47.994058043415230))"
108,"POLYGON ((118.679036269380646 49.034443776903544,122.242467839123336 47.994058043415230,124.948299658007329 50.011659123207863,121.218402764346379 51.203935531609211,118.679036269380646 49.034443776903544))"
109,"POLYGON ((135.000000000000000 37.606882310514841,137.449039738358181 36.378189033414749,140.018765341081121 37.461318729067941,137.589075856315191 38.809890653174847,135.000000000000000 37.606882310514841))"
110,"POLYGON ((132.550960261641848 36.378189033414749,135.000000000000000 35.264389682754654,137.449039738358181 36.378189033414749,135.000000000000000 37.606882310514841,132.550960261641848 36.378189033414749))"
111,"POLYGON ((145.491477012331586 -32.116006540849838,145.491477012331586 -34.644220547108510,148.371690164778755 -35.526507796513101,148.371690164778755 -32.966598510076935,145.491477012331586 -32.116006540849838))"
112,"POLYGON ((-115.662830015547854 34.472768740918596,-115.662830015547826 31.785821886007529,-112.619864948040430 32.399840173919323,-112.619864948040430 35.112011184422201,-115.662830015547854 34.472768740918596))"
113,"POLYGON ((-100.619655276155143 31.188056199371985,-100.619655276155143 28.258395338685673,-97.785140143296175 28.450360919447157,-97.785140143296175 31.391909433476108,-100.619655276155143 31.188056199371985))"
114,"POLYGON ((-109.568710311036000 35.667845426965343,-109.568710311035986 32.934776777293067,-106.534837857345167 33.387667212363269,-106.534837857345167 36.137639871951102,-109.568710311036000 35.667845426965343))"
115,"POLYGON ((-112.619864948040430 37.741249163522390,-112.619864948040430 35.112011184422201,-109.568710311036000 35.667845426965343,-109.568710311035986 38.312542746855236,-112.619864948040430 37.741249163522390))"
116,"POLYGON ((-87.539585461408308 42.524635683013187,-87.539585461408308 39.955219067528105,-84.940131153735877 39.871128002988222,-84.940131153735877 42.439531104833684,-87.539585461408308 42.524635683013187))"
117,"POLYGON ((-84.940131153735877 44.888143788910511,-84.940131153735877 42.439531104833684,-82.214859856703825 42.286765358248218,-82.214859856703825 44.734731955777214,-84.940131153735877 44.888143788910511))"
118,"POLYGON ((-82.214859856703825 42.286765358248218,-82.214859856703825 39.720237413185117,-79.380344723844871 39.494640112744214,-79.380344723844871 42.058229072330420,-82.214859856703825 42.286765358248218))"
119,"POLYGON ((-84.940131153735877 42.439531104833684,-84.940131153735877 39.871128002988222,-82.214859856703825 39.720237413185117,-82.214859856703825 42.286765358248218,-84.940131153735877 42.439531104833684))"
120,"POLYGON ((-84.940131153735877 39.871128002988222,-84.940131153735877 37.189423152187935,-82.214859856703825 37.041781613103254,-82.214859856703825 39.720237413185117,-84.940131153735877 39.871128002988222))"
121,"POLYGON ((-84.940131153735877 37.189423152187935,-84.940131153735877 34.404157240638142,-82.214859856703825 34.261255375031794,-82.214859856703825 37.041781613103254,-84.940131153735877 37.189423152187935))"
122,"POLYGON ((-90.000000000000000 37.297204424493728,-90.000000000000000 34.508522987668400,-87.539585461408308 34.483857085101391,-87.539585461408308 37.271734799863196,-90.000000000000000 37.297204424493728))"
123,"POLYGON ((-84.940131153735877 28.579068550989316,-84.940131153735877 25.575609076484259,-82.214859856703825 25.456329363736664,-82.214859856703825 28.450360919447157,-84.940131153735877 28.579068550989316))"
124,"POLYGON ((-82.214859856703825 34.261255375031794,-82.214859856703825 31.391909433476108,-79.380344723844871 31.188056199371985,-79.380344723844871 34.047862969434313,-82.214859856703825 34.261255375031794))"
125,"POLYGON ((-79.380344723844871 36.821176142989870,-79.380344723844871 34.047862969434313,-76.456308667788619 33.758044323560974,-76.456308667788619 36.521301739704548,-79.380344723844871 36.821176142989870))"
126,"POLYGON ((-76.456308667788619 44.192169215208949,-76.456308667788619 41.747046884651041,-73.465162142654847 41.348031198414041,-73.465162142654847 43.790487397856815,-76.456308667788619 44.192169215208949))"
127,"POLYGON ((-9.189905212974633 38.292458992826383,-7.785140143296169 38.394462786361650,-7.785140143296169 39.720237413185117,-9.189905212974633 39.617226537723774,-9.189905212974633 38.292458992826383))"
128,"POLYGON ((-10.619655276155134 38.171093023224742,-9.189905212974633 38.292458992826383,-9.189905212974633 39.617226537723774,-10.619655276155134 39.494640112744214,-10.619655276155134 38.171093023224742))"
129,"POLYGON ((-5.059868846264117 42.439531104833684,-3.743508991266908 42.489998773036952,-3.743508991266908 43.729712064486861,-5.059868846264116 43.679097931941939,-5.059868846264117 42.439531104833684))"
130,"POLYGON ((31.628309835221245 24.968877543317817,33.078901048061113 24.619020772215922,33.078901048061113 25.960394941867552,31.628309835221245 26.323877738408811,31.628309835221245 24.968877543317817))"
131,"POLYGON ((97.785140143296175 17.892312178475340,99.189905212974637 17.831110202036708,99.189905212974637 19.336283319466034,97.785140143296175 19.401876146754791,97.785140143296175 17.892312178475340))"
132,"POLYGON ((112.619864948040430 21.037511025421814,114.143935371534070 20.817654477907102,114.143935371534070 22.246049628051008,112.619864948040430 22.477913754666204,112.619864948040430 21.037511025421814))"
133,"POLYGON ((114.143935371534070 22.246049628051008,115.662830015547854 22.000026051451194,115.662830015547854 23.416202699607133,114.143935371534070 23.674458238196980,114.143935371534070 22.246049628051008))"
134,"POLYGON ((117.173531592732829 32.795415849928574,118.673146489434998 32.434560612242372,118.673146489434998 33.755204952162345,117.173531592732829 34.123369251286107,117.173531592732829 32.795415849928574))"
135,"POLYGON ((115.662830015547854 33.138075747232620,117.173531592732829 32.795415849928574,117.173531592732829 34.123369251286107,115.662830015547854 34.472768740918596,115.662830015547854 33.138075747232620))"
136,"POLYGON ((79.380344723844871 39.494640112744214,80.810094787025363 39.617226537723774,80.810094787025363 40.914196161968377,79.380344723844871 40.790668466187590,79.380344723844871 39.494640112744214))"
137,"POLYGON ((74.967636534702933 39.002155783344605,76.456308667788619 39.187716975637890,76.456308667788619 40.481283343189595,74.967636534702933 40.294160731454618,74.967636534702933 39.002155783344605))"
138,"POLYGON ((70.431289688964014 40.858079481203625,71.951989484238283 41.114525901791424,71.951989484238283 42.348865049049458,70.431289688964014 42.091099403841078,70.431289688964014 40.858079481203625))"
139,"POLYGON ((70.431289688964014 42.091099403841078,71.951989484238283 42.348865049049458,71.951989484238283 43.555199575018833,70.431289688964014 43.296606313067279,70.431289688964014 42.091099403841078))"
140,"POLYGON ((46.209154681381406 21.542773196181695,47.449039738358159 21.943015585402222,47.449039738358159 23.173304098378022,46.209154681381406 22.755438529024367,46.209154681381406 21.542773196181695))"
141,"POLYGON ((45.000000000000000 23.532969057915935,46.209154681381406 23.969438533851037,46.209154681381406 25.183048453272839,45.000000000000000 24.730142964103933,45.000000000000000 23.532969057915935))"
142,"POLYGON ((46.209154681381406 23.969438533851037,47.449039738358167 24.404180723911935,47.449039738358159 25.633865670295972,46.209154681381406 25.183048453272839,46.209154681381406 23.969438533851037))"
143,"POLYGON ((5.736107064644937 56.789431454459603,6.064173816180538 58.227947301648761,3.990913098429780 58.309543641516086,3.774163361335761 56.864184295190917,5.736107064644937 56.789431454459603))"
144,"POLYGON ((5.436491316470899 55.370790662107879,5.736107064644937 56.789431454459603,3.774163361335761 56.864184295190917,3.576334374997351 55.439318105616167,5.436491316470899 55.370790662107879))"
145,"POLYGON ((15.255118703057777 54.525961350264645,16.058785381851120 55.869925314921836,13.948625005033678 56.132142038177186,13.242031996352088 54.767235084533795,15.255118703057777 54.525961350264645))"
146,"POLYGON ((27.616099865183262 59.914154265140390,29.202705904794900 61.170348111297599,26.627126753562326 61.743221167549230,25.138101639589628 60.444421189857707,27.616099865183262 59.914154265140390))"
147,"POLYGON ((30.041363926279132 59.331692976213013,31.711345865237980 60.542779228676366,29.202705904794900 61.170348111297599,27.616099865183262 59.914154265140390,30.041363926279132 59.331692976213013))"
